"code","name","url"
"SDG1","Poverty","https://sustainabledevelopment.un.org/sdg1"
"SDG2","Food, sustainable agriculture","https://sustainabledevelopment.un.org/sdg2"
"SDG3","Health and well-being","https://sustainabledevelopment.un.org/sdg3"
"SDG4","Education","https://sustainabledevelopment.un.org/sdg4"
"SDG5","Gender equality","https://sustainabledevelopment.un.org/sdg5"
"SDG6","Water availability and sustainable management","https://sustainabledevelopment.un.org/sdg6"
"SDG7","Energy affordable, reliable, sustainable","https://sustainabledevelopment.un.org/sdg7"
"SDG8","Sustainable economic growth and employment","https://sustainabledevelopment.un.org/sdg8"
"SDG9","Resilient infrastructure, innovation","https://sustainabledevelopment.un.org/sdg9"
"SDG10","Reduce inequality","https://sustainabledevelopment.un.org/sdg10"
"SDG11","Sustainable, resilient cities/settlements","https://sustainabledevelopment.un.org/sdg11"
"SDG12","Sustainable consumption and production","https://sustainabledevelopment.un.org/sdg12"
"SDG13","Action to combat climate change and its impacts","https://sustainabledevelopment.un.org/sdg13"
"SDG14","Marine conservation and sustainable development","https://sustainabledevelopment.un.org/sdg14"
"SDG15","Terrestrial biodiversity conservation, sustainable forest management and land use management","https://sustainabledevelopment.un.org/sdg15"
"SDG16","Peace, justice for all","https://sustainabledevelopment.un.org/sdg16"
"SDG17","Strengthen Global Partnership for Sustainable Development","https://sustainabledevelopment.un.org/sdg17"
