id,name,url,contact,description,geoextent,geocoverage_dirty,geocoverage,lead_organisation_name,lead_organisation_category,start_date,active,end_date,environmental_domain,environmental_field,category,social_uptake,policy_uptake,policy_uptake_explanation,policy_relevance,sdg1,sdg2,sdg3,sdg4,sdg5,sdg6,sdg7,sdg8,sdg9,sdg10,sdg11,sdg12,sdg13,sdg14,sdg15,sdg16,sdg17
1,Hedgehogstreet,https://www.hedgehogstreet.org/,info@britishhedgehogs.org.uk,"Hedgehog Street is a campaign aimed at ensuring the hedgehog, the UK’s only spiny mammal, remains a common and familiar part of British life. We know hedgehogs are in trouble. We’ve lost a third of all our hedgehogs in ten years. ",National,United Kingdom,United Kingdom of Great Britain and Northern Ireland (the),British Hedgehog Preservation Society,Non-governmental,2011,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Very large,No,Unknown,Problem definition,0,0,2,2,0,0,0,0,2,0,0,0,2,0,1,2,0
2,Espèces invasives en Wallonia,http://biodiversite.wallonie.be/fr/invasives.html?IDC=5632,http://biodiversite.wallonie.be/fr/contact.html?IDC=328,"This page give you easy access to information on the description of the main invasive species in Wallonia, the damage they cause, and the prevention and control measures put in place to limit nuisances. They are regularly updated.",Sub-national,Belgium,Belgium,"Observatory of Fauna, Flora and Habitats (OFFH)",Governmental,2009,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Occasional reporting,Large,No,Unknown,Problem definition,0,2,2,2,0,0,0,0,2,0,0,0,2,0,1,2,0
3,ACROPORA,http://www.naturefrance.fr/sciences-participatives/acropora,contact@oeil.nc,"ACROPORA is a project of participatory monitoring of the coral reefs of Southern New Caledonia initiated by the Observatory of the Environment (OEIL) at the end of 2012, in partnership with the Consultative Committee Customary Environmental (CCCE). Equipped with flippers, masks and snorkels, participants from tribes of 3 communes of the territory observe the Caledonian reef according to a standardized scientific protocol, used in more than 80 countries bordered by coral reefs.",Regional,France,France,Observatoire de l'Environnement de Nouvelle-Calédonie,Academic,2012,Yes,Unknown,Marine,"Biodiversity, nature and landscapes",Monitoring,Large,Yes,The ACROPORA project has enabled the installation and monitoring of nine observation stations that are part of the Coral Reef Observing Network of New Caledonia (RORC).,Policy implementation or monitoring,0,0,2,2,0,0,0,0,2,0,0,0,0,1,0,2,0
4,Adopta una planta,http://www.liferesecom.ipe.csic.es/index2.php,resecom@aragon.es,"Monitoring network of plants and habitats of community interest (EICs and HICs respectively) in the Natura 2000 Network of the Autonomous Community of Aragon, Spain",Sub-national,Spain,Spain,Gobierno de Aragón,Governmental,2014,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Large,No,Unknown,Problem definition,0,0,2,2,0,0,0,0,2,0,0,0,2,0,1,2,0
5,AGIIR,http://ephytia.inra.fr/fr/P/128/Agiir,http://ephytia.inra.fr/fr/CMS/77/Contacts,"Application dédiée aux insectes introduits ou espčces invasives ayant des répercussions fortes (ou susceptibles d'en avoir) sur la santé des végétaux, la santé publique, ou sur leurs proies ou leurs hôtes.",Sub-national,France,France,INRA L'Institut national de la recherche agronomique,Academic,2013,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Occasional reporting,Large,No,N/A,Policy implementation or monitoring,0,1,2,2,0,0,0,0,2,0,0,0,0,0,2,2,0
6,AIRbezen Oost-Vlaanderen,http://www.airbezen.be/,contact@airbezen.be,"The project created very novel and important (including health related) results, and as such created a huge policy impact. Results were discussed in parliament, I am invited by urban planners, several political fractions,...",Sub-national,Belgium,Belgium,Universiteit Antwerpen,Academic,2014,No,Unknown,Atmospheric,Air quality,Monitoring,Very large,Yes,"On the other hand, we also focus on policy makers. On the basis of a detailed dossier we give them 'dust' for thought. We offer them concrete tips and tricks to work on better air quality",Problem definition,0,1,1,1,0,0,0,0,2,0,1,0,0,0,0,2,0
7,Aircasting,http://aircasting.org/,info@habitatmap.org,Open source device to monitor air quality,Global,World,World,HabitatMap,Non-governmental,2011,Yes,Unknown,Atmospheric,Air quality,DIY engineering,Very large,Yes,"The AirBeam uses a light scattering method to measure fine particulate matter or PM2.5. Air is drawn through a sensing chamber wherein light from an LED bulb scatters off particles in the airstream. This light scatter is registered by a detector and converted into a measurement that estimates the number of particles in the air. Why is this important? The US Environmental Protection Agency monitors and regulates six criteria air pollutants, one of which is PM2.5, and the EPA’s measurements indicate that PM2.5 levels pose a substantial health risk in cities across the country.",Policy evaluation,0,0,1,2,0,0,0,0,2,0,2,0,2,0,0,2,0
8,All Ireland Non-Marine Molluscan Database,http://maps.biodiversityireland.ie/DataSet/1,http://www.biodiversityireland.ie/contact-us/,A compilation of all data for non-marine molluscs for the island of Ireland. The data comes from a number of sources but mainly from the Conchological Society of Britain and Ireland,National,Ireland,Ireland,Conchological Society of Great Britain and Ireland,Non-governmental,1816,No,2014,Marine,"Biodiversity, nature and landscapes",Monitoring,Very large,No,N/A,Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,0,0,2,0,2,2,0
9,Allergieradar,http://www.allergieradar.nl/,info@allergieradar.nl,"The AllergyRadar provides an up-to-date and nationwide overview of the extent to which hay fever sufferers experience symptoms of nose, eyes and lungs. Participants prefer to communicate the intensity of complaints at least once a day on a scale of 1 to 10",National,Netherlands,Netherlands (the),Wageningen University,Academic,2009,Yes,Unknown,Atmospheric,Air quality,Monitoring,Large,No,N/A,Problem definition,0,0,1,2,0,0,0,0,2,0,1,0,0,0,0,2,2
10,Allo elasmo,http://www.asso-apecs.org/-Programme-Allo-Elasmo-.html,asso@asso-apecs.org,"Invite recreational fishermen and divers to report catch or underwater observations of any species of shark or skate in the Iroise sea (Atlantic, brittany coast), to improve knowledge.",Macro-regional,France,France,APECS Association for the study and conservation of selachians Association pour l'étude et la conservation des sélaciens,Non-governmental,2010,Yes,Unknown,Marine,"Biodiversity, nature and landscapes",Occasional reporting,Large,No,N/A,Policy implementation or monitoring,0,0,2,2,0,0,0,0,2,0,0,0,0,1,0,2,0
11,Amazo'N'oil,https://www.zooniverse.org/projects/marcartro/amazonoil/about/team,contact@zooniverse.org,"english, ongoing. In collaboration with Amazonian indigenous communities, scientists from the Universitat Autňnoma de Barcelona have discovered a new animal behaviour: the ingestion of oil spills by Amazonian wildlife. Thousands of videos have been collected through a trap camera program and now these videos are going to be analysed by volunteers in the aforementioned citizen science webpage (Amazo'N'oil in Zooniverse)",National,Peru,Peru,FEDIQUEP,Non-governmental,2013,No,Unknown,Freshwater,Water,Crowd-sourcing,Very large,Yes,"Results will also be very useful for the inhabitants of the region, who are fighting to protect their land and health. Moreover,  results will provide a very valuable knowledge of the health and environmental impacts of the oil industry in the Amazon and beyond.

Through this project we also expect to have an impact on education and to raise awareness about a critical issue that the Amazon and its inhabitants face nowadays.",Policy implementation or monitoring,0,1,1,2,0,1,1,0,2,2,0,1,0,0,1,2,2
12,Amphibian Atlas of Lower Pays de Béthune,http://wiki.chainedesterrils.eu/Lestrem_Nature,Lestrem-nature@wanadoo.fr,"Project based on the recognition of various faunistic groups (ladybugs, amphibians, dragonflies) by employees of the CPIE Chaîne des Terrils; yearly field inventories.",Sub-national,France,France,CPIE Chaîne des Terrils,Non-governmental,2010,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Occasional reporting,Considerable,No,N/A,Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,2,0
14,Ancient Tree Inventory,https://www.woodlandtrust.org.uk/visiting-woods/ancient-tree-hunt/,ancienttreehunt@woodlandtrust.org.uk,Ancient tree inventory in UK,National,United Kingdom,United Kingdom of Great Britain and Northern Ireland (the),Ancient Tree Forum,Non-governmental,2004,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Very large,No,N/A,Policy implementation or monitoring,0,0,2,2,0,0,0,0,2,0,0,0,2,0,1,2,0
15,Dieren onder de wielen,https://www.natuurpunt.be/pagina/dieren-onder-de-wielen-20; https://waarnemingen.be/vs/start ,dierenonderdewielen@natuurpunt.be,"
We identify bottlenecks with your observations of animal traffic victims.",National,Belgium,Belgium,"Natuurpunt Studie i.s.m. Vlaamse overheid - Departement Leefmilieu, Natuur en Energie",Governmental,2016,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Large,No,N/A,Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,2,0,2,0,1,2,0
16,Aranzadi Ringing Scheme (bird ring-recovery data),http://www.aranzadi.eus/ornitologia-oficina-de-anillamiento,idazkaritza@aranzadi.eus,"Bird ring-recovery data from the Aranzadi Ringing Scheme (Aranzadi Sciences Society, Spain). Data have been compiled since 1950",National,Spain,Spain,Aranzadi,Non-governmental,1949,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Very large,Yes,"In Spain there are two ringing offices: the Aranzadi Science Society, founded in 1949, and the Ministry of the Environment.",Policy implementation or monitoring,0,0,2,2,0,0,0,0,2,0,0,0,2,0,1,2,0
17,ArtPortalen,https://www.artportalen.se/,support@artportalen.se,Swedish observation platform (in Swedish) - also contains the Art data banken which shares data with GBIF,National,Sweden,Sweden,ArtDataBanken,Academic,2013,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Very large,No,N/A,Policy implementation or monitoring,0,0,2,2,0,0,0,0,2,0,0,0,2,0,2,2,0
18,Asociación Ciencias Ambientales (ACA),https://www.cienciasambientales.org.es/,info@cienciasambientales.org.es,"Our main objectives are; be a meeting point between scientists, technicians and professionals dedicated to the broad field of Environmental Sciences for the promotion of research, the exchange of knowledge, perspectives and sensitivities, the formation of interdisciplinary teams, the promotion of debates, the development of joint initiatives, etc. ",National,Spain,Spain,Asociación de Ciencias Ambientales,Non-governmental,1997,Yes,Unknown,Terrestrial,Environmental health,Monitoring,Very large,No,N/A,Policy implementation or monitoring,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,2,2
19,Atlas 2020,https://bsbi.org/get-involved,enquiries@bsbi.org,"It aims to actively develop identification, training and recording relevant to improving the knowledge and conservation of centipedes, millipedes, pauropods & symphylans (the Myriapoda) and woodlice & waterlice (the Isopoda).",Sub-national,"United Kingdom, Ireland","United Kingdom of Great Britain and Northern Ireland (the), Ireland",Botanical Society of Britan and Ireland,Non-governmental,2010,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Large,No,N/A,Policy implementation or monitoring,0,0,0,1,0,0,0,0,2,0,0,0,2,0,1,2,2
20,Atlas régional des Odonates,http://www.open-sciences-participatives.org/fiche-observatoire/86,cedvana@free.fr,The program aims to participate in a permanent atlas of odonates in the region by pooling observation data on an online data entry site.,Sub-national,France,France,Groupe ornithologique et naturaliste du Nord-Pas-de-Calais,Non-governmental,2004,Yes,Unknown,Terrestrial,"Biodiversity, nature and landscapes",Monitoring,Large,No,N/A,Policy implementation or monitoring,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,2,0
